snapped_at,price,market_cap,total_volume
2024-10-21 00:00:00 UTC,0.040676713234606296,41451498.47634711,42123124.93041051
2024-10-22 00:00:00 UTC,0.040676713234606296,41451498.47634711,42123124.93041051
2024-10-23 00:00:00 UTC,0.036090884943839455,36158303.16013673,28532607.68364794
2024-10-24 00:00:00 UTC,0.0572873475126653,57186541.149525724,60246098.06542962
2024-10-25 00:00:00 UTC,0.04950529281206496,50040864.288521625,57195500.71701681
2024-10-26 00:00:00 UTC,0.04294727272627958,42233165.44663033,47053701.98609898
2024-10-27 00:00:00 UTC,0.04786709383412736,47868264.22424272,35016340.088164434
2024-10-28 00:00:00 UTC,0.03006017395699991,30704680.294170186,24457606.950156808
2024-10-29 00:00:00 UTC,0.023690011344669113,24489644.169606913,27031370.085021295
2024-10-30 00:00:00 UTC,0.026749400049395765,26705686.593253173,33008714.13542346
2024-10-31 00:00:00 UTC,0.02372275138581775,23733466.338087164,21544050.423744846
2024-11-01 00:00:00 UTC,0.02547920958889942,25530769.760249395,19439479.7090303
2024-11-02 00:00:00 UTC,0.034088113252606515,33512307.895618305,19096238.66746603
2024-11-03 00:00:00 UTC,0.023995323058722255,23992825.489196584,16151282.429657666
2024-11-04 00:00:00 UTC,0.03415452755031849,34368498.17295755,20200459.44072511
2024-11-05 00:00:00 UTC,0.04390331291304465,43598653.77283807,20894164.23753845
2024-11-06 00:00:00 UTC,0.0592603275626505,59230951.31246403,25491070.343717802
2024-11-07 00:00:00 UTC,0.06208512721756886,62185900.61340364,38016611.04031207
2024-11-08 00:00:00 UTC,0.08883845107773207,89556507.33952048,34661858.25961852
2024-11-09 00:00:00 UTC,0.07716642273573236,76769322.47362264,27337631.73116947
2024-11-10 00:00:00 UTC,0.10928061266590447,109351164.01925421,35865257.86619475
2024-11-11 00:00:00 UTC,0.14082378307650753,140850777.09031773,47571003.171042725
2024-11-12 00:00:00 UTC,0.1391942036165851,139830452.23383737,46953413.79533106
2024-11-13 00:00:00 UTC,0.15246673062663005,153909776.40860733,59347850.0936295
2024-11-14 00:00:00 UTC,0.18594948766020952,185879792.7531924,58054167.14436227
2024-11-15 00:00:00 UTC,0.189213867786988,188658670.51014397,72942291.659041
2024-11-16 00:00:00 UTC,0.25206997546909743,252298736.01075658,77471849.33793315
2024-11-17 00:00:00 UTC,0.31123257751589806,313744191.1703622,61820826.50167744
2024-11-18 00:00:00 UTC,0.3358347887627188,335003855.50401056,70171246.14318435
2024-11-19 00:00:00 UTC,0.32255835938725314,322716541.5966973,70951358.18177478
2024-11-20 00:00:00 UTC,0.2712334344222586,271326038.37487024,82815356.45565058
2024-11-21 00:00:00 UTC,0.30040761832366675,300410606.0845596,94834787.3824679
2024-11-22 00:00:00 UTC,0.4001812916035408,397292536.36882526,95080925.66422106
2024-11-23 00:00:00 UTC,0.3377852437770823,337189607.310961,59114346.510220975
2024-11-24 00:00:00 UTC,0.30586319990054944,306236184.7257325,64650199.40796079
2024-11-25 00:00:00 UTC,0.3772035240352874,376654343.5193819,62885307.91132395
2024-11-26 00:00:00 UTC,0.3069562994622366,306974330.0998356,59915516.24986852
2024-11-27 00:00:00 UTC,0.35056220024850937,350560858.215848,65228722.1250534
2024-11-28 00:00:00 UTC,0.3576557658570693,357458226.1947919,57345849.24401167
2024-11-29 00:00:00 UTC,0.33254152018720423,331994048.13956183,42914989.58395755
2024-11-30 00:00:00 UTC,0.34969565649990264,349236841.6298298,43798915.22332003
2024-12-01 00:00:00 UTC,0.2665709167454345,267594909.0735287,56265357.40106579
2024-12-02 00:00:00 UTC,0.21552304145273163,216316954.5696828,64013839.4749152
2024-12-03 00:00:00 UTC,0.19022526393355382,190276683.93700853,71087009.44221431
2024-12-04 00:00:00 UTC,0.18642021610896486,186240197.05502403,66686711.175549194
2024-12-05 00:00:00 UTC,0.16836466967610644,168467200.48212227,55568380.80874745
2024-12-06 00:00:00 UTC,0.20187720026451136,200678975.5037596,56699326.743945666
2024-12-07 00:00:00 UTC,0.22247855322865104,222586802.73489368,49938937.95360744
2024-12-08 00:00:00 UTC,0.20200477994229143,201922425.66717216,53175744.10831117
2024-12-09 00:00:00 UTC,0.31054756327743566,310643411.91776395,72869245.89058308
2024-12-10 00:00:00 UTC,0.3375041265206311,337308251.1610309,79902284.35460071
2024-12-11 00:00:00 UTC,0.38189020294930764,381729106.6784331,77228835.46555807
2024-12-12 00:00:00 UTC,0.5431795801309437,543302910.6488097,114372048.7562814
2024-12-13 00:00:00 UTC,0.5862860737802502,586158852.9387381,77582682.75426179
2024-12-14 00:00:00 UTC,0.696866245777065,700259883.3333162,124460199.29180865
2024-12-15 00:00:00 UTC,0.6476558206593828,646185605.3503659,99017655.51272592
2024-12-16 00:00:00 UTC,0.8298841924924603,830861443.5112126,94512807.51474911
2024-12-17 00:00:00 UTC,0.8025201296837472,797011122.2627572,94860286.16285588
2024-12-18 00:00:00 UTC,0.8189256904764387,822582754.9914404,105330404.5883693
2024-12-19 00:00:00 UTC,0.7919911873418909,792018309.9530646,162173459.00452873
