snapped_at,price,market_cap,total_volume
2024-11-28 00:00:00 UTC,0.08244973139795454,0.0,392166.5491486264
2024-11-29 00:00:00 UTC,0.0824371021911336,0.0,391778.0682145072
2024-11-30 00:00:00 UTC,0.08572929878557849,8572814.69902536,533494.2543539264
2024-12-01 00:00:00 UTC,0.08258081266574532,8248703.144980496,216786.55433818142
2024-12-02 00:00:00 UTC,0.08961982326959157,8951804.834479637,316434.213381441
2024-12-03 00:00:00 UTC,0.09096451549772566,9086121.348366145,297416.4437549852
2024-12-04 00:00:00 UTC,0.11606964370635225,11661253.732280979,860722.233347097
2024-12-05 00:00:00 UTC,0.13026505365993676,12989473.17041807,552167.4297569193
2024-12-06 00:00:00 UTC,0.12013836888169369,12000192.466693385,706317.3229733817
2024-12-07 00:00:00 UTC,0.10070712732331033,10059275.166600576,436462.4714010416
2024-12-08 00:00:00 UTC,0.10971932461012816,10965115.445097988,402159.37890018965
2024-12-09 00:00:00 UTC,0.09818663802619847,9795998.153265689,388597.4464822121
2024-12-10 00:00:00 UTC,0.07421315472577802,7412600.998201735,510762.0884068408
2024-12-11 00:00:00 UTC,0.0735194255266456,7330643.881441963,394862.532353255
2024-12-12 00:00:00 UTC,0.06765974173031608,6813266.479979712,406003.8969408922
2024-12-13 00:00:00 UTC,0.07657143851872816,7667562.23286841,357605.88203044573
2024-12-14 00:00:00 UTC,0.06964737381994496,6955312.598480282,394848.9793168267
2024-12-15 00:00:00 UTC,0.0622562569126761,6211141.969954262,307153.7450292253
2024-12-16 00:00:00 UTC,0.05812255941554885,5805654.133057264,267568.826021502
2024-12-17 00:00:00 UTC,0.06385136053823552,6377883.517725133,291061.92376869154
2024-12-18 00:00:00 UTC,0.06222366319626995,6215297.919515483,266056.21006770787
2024-12-19 00:00:00 UTC,0.05951851070510507,5978343.486135814,213198.0120085688
